SITE,DESC,JAN,FEB,MAR,APRIL,MAY,JUNE,TOTAL
"5 - 965 Fall River Ave, MA",CHSE PLEASERS COLBY JACK,6.00,2.00,14.00,15.00,10.00,10.00,57.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI GRK YOG STWB,6.00,8.00,15.00,13.00,9.00,5.00,56.00
"1- 533 East Main Rd, RI",1.5OZ ROLTINI SALAMI SPCY MOZZ CHSE,7.00,4.00,8.00,3.00,13.00,20.00,55.00
"2 - 3302 East Main Rd, RI",5.3OZ CHOBANI GRK YOG BLUBRY,3.00,5.00,10.00,14.00,17.00,4.00,53.00
"5 - 965 Fall River Ave, MA",FIORUCCI PANINOS SALAMI JACK 2PK,7.00,5.00,9.00,7.00,21.00,3.00,52.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI GRK YOG BLUBRY,9.00,5.00,11.00,13.00,8.00,3.00,49.00
"6 - 1776 Post Road, RI ",FIORUCCI PANINOS PPRNI MOZZ 2PK,14.00,4.00,0,13.00,9.00,8.00,48.00
"2 - 3302 East Main Rd, RI",CHOBANI GRK YOGURT BLK CHERRY,4.00,2.00,10.00,9.00,6.00,16.00,47.00
"2 - 3302 East Main Rd, RI",7OZ CHOBANI DRINK MIXED BRY,9.00,5.00,13.00,12.00,6.00,1.00,46.00
"5 - 965 Fall River Ave, MA",CHOBANI DRINK STRABERRY BANANA,2.00,8.00,7.00,14.00,12.00,3.00,46.00
"2 - 3302 East Main Rd, RI",SARGENTO STICK MILD CHEDDAR,6.00,7.00,8.00,9.00,12.00,2.00,44.00
"6 - 1776 Post Road, RI ",5.3OZ CHOBANI GRK YOG BLUBRY,7.00,10.00,6.00,5.00,11.00,5.00,44.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI FLIP ALMND COCO,11.00,7.00,10.00,3.00,6.00,6.00,43.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI FLIP SMORES,8.00,12.00,14.00,1.00,8.00,0,43.00
"5 - 965 Fall River Ave, MA",5.3OZ CHOBANI GRK YOG STWB,4.00,5.00,6.00,13.00,13.00,2.00,43.00
"1- 533 East Main Rd, RI",VAN HOLTEN PICKLE DILL   I W 612,4.00,7.00,4.00,7.00,16.00,4.00,42.00
"1- 533 East Main Rd, RI",5.3OZ CHOBANI GRK YOG STWB,10.00,7.00,9.00,7.00,1.00,7.00,41.00
"1- 533 East Main Rd, RI",VAN HOLTEN PICKLE BIG PAPA DILL,9.00,9.00,5.00,6.00,9.00,3.00,41.00
"6 - 1776 Post Road, RI ",CHOBANI GRK YOGURT PEACH,7.00,7.00,9.00,5.00,11.00,2.00,41.00
"5 - 965 Fall River Ave, MA",OM LNCHBL TURKEY AMER,4.00,7.00,8.00,9.00,7.00,5.00,40.00
"5 - 965 Fall River Ave, MA",1.5OZ ROLTINI MOZZ PROSCIUTTO,0,0,0,10.00,25.00,5.00,40.00
